ref,cot_csharp,cot_go,cot_java,cot_javascript,cot_kotlin,cot_perl,cot_php,cot_python,cot_ruby,cot_scala,cot_swift,cot_typescript
cot_csharp,,0.6762288361997724,0.7190669990421389,0.737867770522556,0.7165560211279238,0.6521407736778048,0.7139842634440495,0.6521538697523609,0.7080345843054091,0.694516167394443,0.7173992538478596,0.7240833036010861
cot_go,0.6759778873930237,,0.6451406208601272,0.6971455711137269,0.6743878206811799,0.6506006781797915,0.671903469592689,0.643139543529826,0.6437300947199104,0.6462807137602498,0.6899565628229097,0.690953067153644
cot_java,0.7191913122796624,0.6453300778366442,,0.7579822426545534,0.7223128694828088,0.6281713607968066,0.7213750687813643,0.6834484644800638,0.7006244842897921,0.7276489393556966,0.7141038577424532,0.726607524586696
cot_javascript,0.7376836269039326,0.6974110812288467,0.7577247477365981,,0.7805255344128579,0.7122472944540493,0.784597741512705,0.6642653516465667,0.794004323215702,0.709272753190776,0.7858122870822273,0.77620570868964
cot_kotlin,0.716382549973701,0.674646131607297,0.7220705211603446,0.7805351670083638,,0.687821439364067,0.7406392481323093,0.6547990692713012,0.7630345466843804,0.771418799182328,0.8372543966950158,0.7292373987457361
cot_perl,0.6519546187917442,0.6504658718767458,0.6280809504448104,0.7119667022880586,0.6875516409273454,,0.7302384891344511,0.5929293081609128,0.6802192761020124,0.6655677043678266,0.6943544497553087,0.6683770409636336
cot_php,0.7138931271039907,0.6721670520726981,0.7211850412501337,0.7847183770725905,0.7407458964220185,0.7304949594113694,,0.6336784535047544,0.7435394934027744,0.7061302032384731,0.7544234066902912,0.7467511200202551
cot_python,0.6523666608313542,0.6431927722611372,0.6836055157618025,0.6645130768820903,0.6550436395247013,0.5928344262610133,0.6339084714976868,,0.6591337984549885,0.6529887828649217,0.6841362418410066,0.7020581598656186
cot_ruby,0.7080388716701986,0.6439680847574276,0.7005065333633362,0.7942053448734179,0.7632220994396463,0.6804111386484922,0.7436380822214236,0.6589202297056411,,0.7150975709708395,0.7417731465371553,0.7308253901957134
cot_scala,0.6945828298277837,0.646499289924964,0.7275834163869876,0.7094876770661241,0.7716480907559972,0.6657138104558598,0.706274650234072,0.652804068407732,0.715162434131605,,0.718001710397318,0.7120636637120344
cot_swift,0.7173572797050283,0.6902213307439111,0.7139501207082475,0.785978324322996,0.8374242129273065,0.6945748679937365,0.7544803708943743,0.6839000436985354,0.7417256160660789,0.7178967369434103,,0.7575749633747033
cot_typescript,0.7243276075929956,0.6909864654884841,0.7267895042712402,0.7764921280494679,0.7295073395924728,0.6682393036216075,0.747025443589079,0.702082241076446,0.7310705957956165,0.7122765715184809,0.7578428079762668,
