column,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE
cot_csharp,0.8603039513676766,0.8156084989365321,0.7836701857982895,0.7579960606701094,0.533585179745221,0.8396335969654384,5.361487020467737,0.7969262301072786
cot_go,0.8487354539845079,0.8003216982504469,0.7668352790635948,0.7403283303879704,0.5176723086730898,0.8352776922660539,5.3157569358370065,0.8047825696740635
cot_java,0.8491206386337709,0.8017475476201215,0.7695959842892063,0.744277457324549,0.5207035740249203,0.8390386537920392,5.692381625577293,0.8149572254491556
cot_javascript,0.858425083772037,0.8178119893932462,0.789304734736923,0.7666299496022283,0.5403158077332425,0.8591054721105447,5.980681021812904,0.8186523841343613
cot_kotlin,0.8295333727110655,0.7795709650266855,0.7454991966058679,0.7189898429655637,0.5173761386655623,0.8339706096453087,5.441967804464835,0.7911606184093978
cot_perl,0.8525656468319859,0.8049069713168918,0.7725701188086678,0.7473799111627929,0.524036578769632,0.8470900726389814,5.71521312718633,0.8080448238480076
cot_php,0.8528669311214264,0.80749378889014,0.7763474230098565,0.7521516367884894,0.5329580461633202,0.8402196058871485,5.631329690240343,0.8050952076836537
cot_ruby,0.828280463537302,0.7819825267379149,0.7494168983384412,0.7233899930578922,0.5208635787614898,0.8415942478611292,5.713423888755132,0.8027364256760672
cot_scala,0.8499172384339765,0.8062319876821045,0.7755445906876388,0.750841192191402,0.5207841543987185,0.8438461575998666,5.501398287370501,0.8044883601292913
cot_swift,0.8605212355211317,0.8165006497234446,0.7866532946158512,0.7634014361633829,0.5329561812494554,0.8568938976418782,5.7668178651149935,0.8241694835570431
cot_typescript,0.8444206008582684,0.7984251175543322,0.7660825261124143,0.7402927494268484,0.5290265817894614,0.8506136140722156,5.485723976651579,0.8140648873379733
