column,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE
cot_csharp,0.7820145470573545,0.7293747044074939,0.6870213357356338,0.6519546187917442,0.48687717431513344,0.7732784722992915,4.538044180913526,0.6875682433808029
cot_go,0.7849977200180608,0.7307298875687539,0.6868060147928179,0.6504658718767458,0.4782434994905672,0.7592649403876376,4.34367932208663,0.6937615249551776
cot_java,0.7656455142230272,0.7082915080117256,0.6638737268082895,0.6280809504448104,0.48062217495595455,0.7600147458220112,4.145359857250364,0.6742041593623261
cot_javascript,0.8267944716895169,0.780820831429375,0.7427971405639068,0.7119667022880586,0.5247149276899498,0.8241356423309802,5.4014454176450375,0.7500621948683033
cot_kotlin,0.8148395721923317,0.7647746792261562,0.7226007161361436,0.6875516409273454,0.5012090613540207,0.807502673277779,4.827021894506354,0.7292319550190188
cot_php,0.8280903854672511,0.7875451559156793,0.7560653938947468,0.7302384891344511,0.5324836673590022,0.835253676474515,5.9296436059406,0.767992145789556
cot_python,0.7384148982241796,0.681944595135045,0.633140472558539,0.5929293081609128,0.4671622754981204,0.7359554552465537,3.7755240014124887,0.651089437632062
cot_ruby,0.8065226972232686,0.7578968982113412,0.7156024398044364,0.6802192761020124,0.5133005625052823,0.8170403108592499,4.883724591955384,0.7120222768105906
cot_scala,0.7951251646902074,0.7423703919011859,0.7001944702325966,0.6655677043678266,0.5012324928326009,0.8093830782002801,4.775413165586256,0.7323922138767707
cot_swift,0.8146675502538513,0.7666088419338067,0.727321128376067,0.6943544497553087,0.5081273504644259,0.8178615532617414,5.006978686158375,0.7514114042644511
cot_typescript,0.7923875432524237,0.7418535097662385,0.7010752667597642,0.6683770409636336,0.5052321941473557,0.8074016441886073,5.0362853415724,0.7308865674632748
