column,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE
cot_csharp,0.8298435089264204,0.7846823445672073,0.747996206257445,0.7173572797050283,0.517272815730389,0.8131455506952673,5.284916571689896,0.7513437428766234
cot_go,0.7974758257996712,0.7536418184153146,0.7187539146506826,0.6902213307439111,0.5017672195715317,0.7953955944313396,5.266218852533778,0.748737861562466
cot_java,0.8249452954046335,0.7824235269757505,0.7455266672160652,0.7139501207082475,0.5168263173335289,0.8108142986242587,5.294671108092527,0.7485943239245756
cot_javascript,0.8680885482003295,0.8361367279902918,0.8092173761749806,0.785978324322996,0.5600559783001116,0.8597375635242486,6.291406029383739,0.8195336261852846
cot_kotlin,0.9049803852913547,0.8783926795926437,0.8562417309804696,0.8374242129273065,0.5941972119580807,0.8871251124542582,7.36344284917634,0.8390626740637227
cot_perl,0.8140035294093011,0.7662661448286103,0.7272704658182106,0.6945748679937365,0.503177776343706,0.8134948232638604,5.000758793817594,0.7502335403540291
cot_php,0.8570761962698901,0.8181612291049575,0.7842932137529488,0.7544803708943743,0.5397792512372988,0.8440729851760466,5.906683788680058,0.7988457925281691
cot_python,0.8007795582501513,0.7557803444492246,0.7169353607418693,0.6839000436985354,0.5007132329897471,0.7950331166556855,4.761023764827074,0.7278451869806923
cot_ruby,0.8477302776551678,0.807735507027083,0.7722187759081889,0.7417256160660789,0.5372750192232606,0.8372833825549708,5.591243453631075,0.750615917565259
cot_scala,0.8344312692136946,0.7894970617898304,0.7508386164849887,0.7178967369434103,0.5202176079385282,0.8282650094441635,5.887707133562773,0.7722995980887823
cot_typescript,0.8525086505188467,0.8169061554366231,0.7850118657895419,0.7575749633747033,0.5491652220898449,0.8568355115490274,6.056250850113747,0.8035745917480224
