column,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE
cot_csharp,0.8133452049159804,0.7641704900063033,0.7255842014712041,0.6945828298277837,0.4912683985115074,0.7960647570080902,5.323394717685675,0.7277668172270549
cot_go,0.7737106909334232,0.7203901110343783,0.6792789289542882,0.646499289924964,0.4685413570695933,0.7686212439797369,4.905688859067334,0.714392315026342
cot_java,0.8275711159735606,0.7873048473883935,0.7545132492625002,0.7275834163869876,0.5092575749804864,0.8115227569882275,5.723763418207344,0.7643077841212869
cot_javascript,0.8222604464317804,0.7790752565395763,0.7411520240938776,0.7094876770661241,0.5024056545699479,0.8103275036310679,5.458930619173833,0.7624269587506599
cot_kotlin,0.8631047605468793,0.8280876983674926,0.7973585821852349,0.7716480907559972,0.5378099613334302,0.8642161294390334,6.443459800686702,0.831453115198407
cot_perl,0.7942690861074504,0.7418838323984137,0.7000379715055156,0.6657138104558598,0.48421528136698394,0.8042214738090422,4.767616759139409,0.7314662879508449
cot_php,0.8223218777814881,0.7757793304834499,0.7378495936285393,0.706274650234072,0.4974564996189828,0.8111785912162915,5.32324307343901,0.7616221288649652
cot_python,0.78713728886947,0.7332867614699705,0.6893595505536536,0.652804068407732,0.4755896281137703,0.77010060052127,4.5637384277340285,0.7179390537550636
cot_ruby,0.8300343786329851,0.785903624797757,0.7471647624962041,0.715162434131605,0.5065395730832503,0.8218431516333154,5.197145986590874,0.7573236878692466
cot_swift,0.8344164869572684,0.7895251767952312,0.7509063717273148,0.718001710397318,0.5069424080327006,0.8274318331777,5.878051248480858,0.7731329314221156
cot_typescript,0.8259083044980912,0.7820585878455307,0.7444263139165638,0.7120636637120344,0.5080871664802569,0.8270076520426379,5.643948395130014,0.7624923590275119
