ref,cot_csharp,cot_go,cot_java,cot_javascript,cot_kotlin,cot_perl,cot_php,cot_python,cot_ruby,cot_scala,cot_swift,cot_typescript
cot_csharp,,0.7860941504600888,0.8031677963926923,0.7890694324027012,0.7575093182653204,0.7388232636280198,0.8018521293106406,0.7580519810004859,0.7418989769716144,0.7795456823222086,0.7575351455393933,0.7635837105647046
cot_go,0.7860078431236566,,0.8131099576317531,0.7917346767858268,0.7658582416591652,0.7704046492856603,0.8128167410773245,0.7402496593779753,0.7480888201144773,0.7992604026926543,0.779383844340078,0.7894845252179014
cot_java,0.8030773905628965,0.8131340969593838,,0.785298409490363,0.7767582991646239,0.7635149276859109,0.782673044773941,0.7442061606770425,0.7424147910478726,0.807641106741154,0.798129571464811,0.7837711629787881
cot_javascript,0.7891550544901581,0.7916859871933669,0.7852790006037277,,0.8097564104926162,0.7891754964691443,0.8131888180652684,0.766693507336403,0.792627685569882,0.7863633876512535,0.8193639560253118,0.7925303377568828
cot_kotlin,0.7575135022657616,0.7655540321624893,0.7765002974270664,0.8098412610170325,,0.8402253672404991,0.7959270145498583,0.7189159605396412,0.783841260180055,0.7978849389825126,0.8862814701087284,0.8391025150956817
cot_perl,0.7388933835773228,0.7704356493387347,0.7635630308716169,0.7891167098182933,0.8401460316569948,,0.7992753067656204,0.7474623247049623,0.7941763841732814,0.7777114044255948,0.8314060502829956,0.7994573157070611
cot_php,0.801935411975824,0.812827211862379,0.7827043981440946,0.8131437059376556,0.7958456435862652,0.7992977861599087,,0.7522316116310429,0.781456450888663,0.8026333489966104,0.8099326201801484,0.8154392489196584
cot_python,0.7579960606701094,0.7403283303879704,0.744277457324549,0.7666299496022283,0.7189898429655637,0.7473799111627929,0.7521516367884894,,0.7233899930578922,0.750841192191402,0.7634014361633829,0.7402927494268484
cot_ruby,0.7417704926639405,0.7475334851682262,0.741926980406478,0.7926869218005058,0.7839119258851199,0.7941792917576685,0.7814804214908636,0.723143609112655,,0.7779302581440157,0.7656060848185786,0.7883697207249718
cot_scala,0.7794723690847098,0.7992206825859194,0.8075833224828726,0.786471616850785,0.7983028631310772,0.7777199579589371,0.8026704227909599,0.7507555804496598,0.7786345436854127,,0.8368727268799273,0.8451781864887268
cot_swift,0.757598998655128,0.7794302380410617,0.7981923481629293,0.8192926242884961,0.8862063028876019,0.8313864671627295,0.8098935662763904,0.7634856194910586,0.7656227906052293,0.8368850629679085,,0.8668610391361248
cot_typescript,0.7636571976824058,0.7893723339630151,0.783695121609505,0.7925689545718159,0.8390259842947974,0.7995359137641354,0.8155103332614193,0.7403270689205385,0.7882934319567917,0.8449812920664451,0.8669515144179097,
